Fecha,Concepto,Categoria_I,Categoria_II,Subcategoria,Coste,Fuente de financiacion,Estado,Documento,Notas
6/3/23,Nota simple,Terreno,Tramite,Nota simple,"9,56",Ahorros,Pagado,,
14/3/23,Pago terreno,Terreno,Compra terreno,Compra,"44.000,00",Ahorros,Pagado,,
27/4/23,Estudio topográfico,Proyecto,Técnicos,Topógrafo,"390,00",Ahorros,Pagado,,
10/7/23,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
11/7/23,Notaria Talavera,Terreno,Tramites,Notaría,"544,08",Ahorros,Pagado,,
11/7/23,Autoliquidacion Serranillos,Terreno,Impuestos,ITP,"4.049,10",Ahorros,Pagado,,
12/7/23,Registro propiedad Talavera,Terreno,Tramites,Registro,"100,00",Ahorros,Pagado,,
29/9/23,Registro propiedad Talavera,Terreno,Tramites,Registro,"92,00",Ahorros,Pagado,,
3/10/23,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
12/2/24,Comunidad,Mantenimiento,Servicios,Comunidad,"33,71",Ahorros,Pagado,,
9/4/24,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
5/7/24,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
4/10/24,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
25/5/24,IBI 2024,Mantenimiento,Impuestos,IBI,"60,40",Ahorros,Pagado,,
20/1/25,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
12/2/25,Estudio geotecnico,Proyecto,Técnicos,Geotécnico,"1.683,11",Ahorros,Pagado,,
3/4/25,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
19/5/25,IBI 2025,Mantenimiento,Impuestos,IBI,"60,40",Ahorros,Pagado,,
2/7/25,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
6/10/25,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
20/10/25,Tasa de basuras,Mantenimiento,Impuestos,Tasa basura,"100,00",Ahorros,Pagado,,
4/12/25,Colaboracion tecnica en proyecto (estructuras y electricidad),Proyecto,Técnicos,Colaboradores,"1.960,20",Ahorros,Pagado,,
20/1/26,Honorarios Arquitecto Técnico (Primer pago),Construcción,Técnicos,Arquitecto técnico,"2.178,00",Ahorros,Pagado,,
22/1/26,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
2/4/26,Comunidad,Mantenimiento,Servicios,Comunidad,"65,00",Ahorros,Pagado,,
17/4/26,Impuesto Licencia de obra,Construcción,Impuestos,Licencia,"7.918,51",Ahorros,Pagado,,
10/5/26,IBI 2026,Mantenimiento,Impuestos,IBI,"60,40",Ahorros,Pagado,,
14/5/26,Tasación Krata,Hipoteca,Tramites,Tasación,"363,00",Ahorros,Pagado,,
8/6/26,"Provisión de fondos (gestoría, impuesto...)",Hipoteca,Impuestos,Notaría,"7.697,00",Hipoteca,Pagado,,
